gene_symbol	D_meta	P_diffusion	group
PTS	0.1579941643654409	0.0006920538032585142	background
UCP3	-0.4276716905955715	0.0006913576915280383	background
AKR7A3	-4.701289592034672	0.0006902036925677509	CAP_down
SLC5A3	-1.9153008959390492	0.0006871916524495276	CAP_down
NKX3-1	-1.380635355707717	0.0006826006175622956	CAP_down
NCOA1	2.7584779910788315	0.0006804415305639072	CAP_up
PPP1R16A	-0.319951680029411	0.0006797139744207023	background
DUSP7	-1.195187571312968	0.0006710755788972319	CAP_down
MEMO1	-0.008943787075732	0.0006681795626468243	background
TGIF2	-0.8553143640877571	0.0006679209288452754	background
NFAT5	0.5609159222173012	0.0006638802232243569	background
PTGES2	-1.1258365622846642	0.0006610122926191753	CAP_down
MAP3K20	9.539885943243736	0.000652863553346966	CAP_up
DUSP16	0.2146916415706139	0.0006527345221985956	background
ST13	-1.5339137844611856	0.0006506241787729127	CAP_down
RNF14	-1.9400828515245585	0.0006490239861481711	CAP_down
TMEM63C	-0.3017922127202398	0.0006427271484692846	background
DUSP10	-0.1087191096658569	0.0006418507861429587	background
IER3	6.630131803604008	0.0006412278510189945	CAP_up
GNRH1	-0.2655764755291588	0.0006403596109194487	background
DUSP2	-0.5923093584818752	0.0006403140730857543	background
TGIF1	-1.1306450582034664	0.0006384597223394956	CAP_down
CTSH	-0.0072837463082819	0.0006368928574498514	background
ADIPOR1	0.9767976878515292	0.0006300192340404846	background
ITGB1BP2	0.000322295246127	0.0006221501164491805	background
CTSF	-7.208805958667915	0.00062173627617975	CAP_down
NEDD9	0.8253111408358053	0.0006170103177191258	background
LRFN3	-6.387911778486385	0.0006140742182927682	CAP_down
FRS3	0.0357423704323237	0.0006140458473315646	background
ZEB2	0.808049151822091	0.0006140412667203951	background
HOPX	-5.258645321752419	0.0006123458546693942	CAP_down
MVP	5.897445281096803	0.0006122973675930529	CAP_up
AVEN	-0.5169590813772937	0.0006033899661787136	background
GPR55	-1.4655743093079427	0.0006012985432536268	CAP_down
CDCP1	0.2252795144854475	0.000596334722228241	background
MGAM2	29.16407713541952	0.0005955273469853025	CAP_up
NR2E1	12.566451930895017	0.0005950340955359833	CAP_up
FCRL3	-10.263137137216107	0.000594200376723138	CAP_down
RTL10	-3.2171975718460413	0.0005940649784539486	CAP_down
VEGFB	-5.015387408848779	0.0005929441011545514	CAP_down
BACE2	-2.024569527416518	0.0005914625381725354	CAP_down
PTPN12	5.053577698197568	0.0005898943337529006	CAP_up
SETD6	-6.027507195807088	0.0005890120364450391	CAP_down
BCL2L12	0.1441680974788095	0.0005882226924652851	background
MACROH2A2	-8.635519530136829	0.0005874982525794521	CAP_down
USP19	0.9115107220107004	0.0005844363658551305	background
